query,query_set_id
runtz,sampled_queries
trooper bandana shoe,sampled_queries
tcl a1x phone case straight talk,sampled_queries
bose headphones replacement cord,sampled_queries
uniball vision elite,sampled_queries
definitely not paid enough for this,sampled_queries
raid deep reach fogger,sampled_queries
usb camera,sampled_queries
reusable produce bags,sampled_queries
latex dental dam,sampled_queries
100,sampled_queries
margarita glasses,sampled_queries
red long sleeve dress,sampled_queries
mora wood carving knife,sampled_queries
hey water antoinette portis,sampled_queries
computer table,sampled_queries
surgical pathology,sampled_queries
opi linkin park after dark,sampled_queries
ribeye steaks,sampled_queries
corn hole game wooden,sampled_queries
alphabet stickers,sampled_queries
floral wallpaper stick and peel,sampled_queries
macaw toys,sampled_queries
frolic flowers,sampled_queries
psp,sampled_queries
contact lens colored for eyes,sampled_queries
renogy 100w solar panel,sampled_queries
jbl bluetooth speakers,sampled_queries
four paws magic coat instant dog mat remover,sampled_queries
red flannel nightgowns for women,sampled_queries
cwine glasses,sampled_queries
puzzle interlocking,sampled_queries
iphone grip,sampled_queries
helen kaminski hats,sampled_queries
power ball hand exerciser,sampled_queries
coil incense,sampled_queries
golf sets for men left handed,sampled_queries
charger wireless for iphone,sampled_queries
boys smart watch,sampled_queries
gatorade bottle,sampled_queries
bambu utensil set,sampled_queries
science diet,sampled_queries
rose petals for romantic night,sampled_queries
futon queen,sampled_queries
wella 7r 810,sampled_queries
columbia ice maiden ii womens insulated snow boots,sampled_queries
powdered lemonade drink mix,sampled_queries
bridal shower decorations,sampled_queries
white mesh bodysuit,sampled_queries
eye mask without strap,sampled_queries
carhartt extreme cold weather boot socks,sampled_queries
ikea wood desk,sampled_queries
$30 roblox gift card not digital,sampled_queries
winter jacket,sampled_queries
tetley,sampled_queries
linkin park,sampled_queries
jobs evergreen tree spikes,sampled_queries
slip in sneakers for men,sampled_queries
pot organizer,sampled_queries
baseball shirt 6 under armour,sampled_queries
iphone 11 alpha glass screen protector,sampled_queries
women sexy dresses for party,sampled_queries
black and white checkered curtains 2 panels,sampled_queries
telescopic handle,sampled_queries
samsung galaxy note 8 case,sampled_queries
15 microsoft card,sampled_queries
pink ski mask,sampled_queries
super nes wires,sampled_queries
if lost or drunk please return to bestie,sampled_queries
pine tree garland,sampled_queries
smarty jr,sampled_queries
fitness rollers deep tissue massage,sampled_queries
plastic divider container,sampled_queries
frixion pens,sampled_queries
winter cycling shoe covers,sampled_queries
custom 3 panel wall art,sampled_queries
dinosaur decorations orange,sampled_queries
fast charging wireless charger,sampled_queries
mary meyer baby mat,sampled_queries
shark vacmop,sampled_queries
daves killer bread,sampled_queries
dildo for sex,sampled_queries
do not enter tape,sampled_queries
gift teen girl,sampled_queries
casio illuminator watches for men,sampled_queries
used pc desktop,sampled_queries
slarm window sensor,sampled_queries
maxi pads without wings,sampled_queries
thrive mascara,sampled_queries
bulwark flame resistant jacket,sampled_queries
dental floss 0.3,sampled_queries
henley shirts for men,sampled_queries
long workout tank tops for women loose fit,sampled_queries
lg v20 case,sampled_queries
ss officer,sampled_queries
quickbooks',sampled_queries
4khdip168nv-1,sampled_queries
carhartt windbreaker,sampled_queries
play kitchen for toddlers accessories,sampled_queries
outdoor baby swing,sampled_queries
40 amp 240 volt timer,sampled_queries
neuroquell for neuropathy,sampled_queries
kid animal plates,sampled_queries
the gallows,sampled_queries
mortara,sampled_queries
glitter lamp color change,sampled_queries
panties,sampled_queries
fabric aprons,sampled_queries
heavy duty plastic folders with pockets,sampled_queries
wooden stool,sampled_queries
belief without borders,sampled_queries
moto play screen protector,sampled_queries
collagen supplements,sampled_queries
rv sink drain,sampled_queries
alexa leak detector,sampled_queries
45 women birthday party supplies,sampled_queries
pumping backpack,sampled_queries
american flag 5x8 outdoor made in usa,sampled_queries
patio chair swing,sampled_queries
ground lift box,sampled_queries
rudin by ivan turgenev,sampled_queries
fire 7 kids edition tablet,sampled_queries
wallets for men,sampled_queries
rae dunn christmas mug,sampled_queries
men school bag,sampled_queries
laptop refurbished,sampled_queries
world of warcraft anniversary collector's edition,sampled_queries
navistar international,sampled_queries
newborn onesies,sampled_queries
my tv,sampled_queries
boo costume monsters inc,sampled_queries
barbie puppy movies,sampled_queries
andis t edger,sampled_queries
galaxy 8 note case,sampled_queries
instant pot air fryer,sampled_queries
(fiction without frontiers),sampled_queries
drywall anchors heavy duty,sampled_queries
dachshund case,sampled_queries
card holders for four decksplaying cards,sampled_queries
lights bulbs color changing,sampled_queries
dieter roth,sampled_queries
drone with live camera for adults,sampled_queries
christmas dress for petite women,sampled_queries
wireless keyboard mouse combo,sampled_queries
quick grip american tool mini,sampled_queries
best ride on cars mercedes 3-in-1 push car in white,sampled_queries
water brushes,sampled_queries
backpacks lunchbox combo,sampled_queries
ceramtic coating,sampled_queries
the first years gate parts,sampled_queries
girls bible,sampled_queries
dummy door handle brass,sampled_queries
15 inch light weight laptop that has lots of memory storage and RAM.  It should include a HDMI port as well as a USB drive.  ,sampled_queries
small cigarette case,sampled_queries
starbucks mugs you are here,sampled_queries
phoenix model a330,sampled_queries
hug machine,sampled_queries
sushi go card game,sampled_queries
beeswax wood polish,sampled_queries
computer software programs adobe,sampled_queries
sundiata,sampled_queries
echo dot flush mount,sampled_queries
dji goggles,sampled_queries
7 days without a pun makes one weak,sampled_queries
double couple famous painting compression socks,sampled_queries
orange textured paint,sampled_queries
kids play rug pj mask,sampled_queries
plywood clips for windows,sampled_queries
porch shades outdoor roll up,sampled_queries
bookshelf 4 tier,sampled_queries
halloween glow bracelets kids,sampled_queries
fletchings for arrows,sampled_queries
go chef 8 in 1 cooker,sampled_queries
spice variety pack,sampled_queries
kobe baby jersey,sampled_queries
rag doll kindergarten,sampled_queries
wiggle scooters for kids,sampled_queries
a deed without a name,sampled_queries
boho earrings,sampled_queries
razer kishi,sampled_queries
posh moomy,sampled_queries
back to december taylor swift,sampled_queries
military face paint kit,sampled_queries
converse sneakers for women,sampled_queries
wowled,sampled_queries
body shop gift set for men,sampled_queries
organicbone broth,sampled_queries
mens ralph lauren puffer jacket,sampled_queries
concealer color changing foundation,sampled_queries
pocket storage,sampled_queries
adaptador control xbox 360 a pc,sampled_queries
snuff bullet,sampled_queries
ez bow maker for ribbon,sampled_queries
cargo pants men big and tall,sampled_queries
cousin it costume,sampled_queries
mre beef,sampled_queries
women shawl for winter,sampled_queries
battery samsung galaxy s7 edge,sampled_queries
detective pikachu digital,sampled_queries
woodwick wax melt,sampled_queries
ninja 4qt air fryer black af101,top_queries
pokemon shield nintendo switch,top_queries
old fashion mix,top_queries
girls tights,top_queries
cat balls,top_queries
adidas soccer cleats,top_queries
still eyeliner,top_queries
runa energy drink,top_queries
muzzy broadheads,top_queries
fluoride coated scissors,top_queries
stuffed animal washer bag,top_queries
yarn purple and pink,top_queries
ultra fast keto boost 800mg,top_queries
cole haan grand crosscourt,top_queries
bra shiny,top_queries
pilot knee board,top_queries
ink 61 black and color,top_queries
plus size black shirt,top_queries
pack abd play sheet,top_queries
10x10x6 cake box without window,top_queries
