query,document,judgment
$30 roblox gift card not digital,B07RX6FBFR,1.0
$30 roblox gift card not digital,B09194H44R,0.0
$30 roblox gift card not digital,B08R5N6W6B,0.1
$30 roblox gift card not digital,B07Y693ND1,0.0
$30 roblox gift card not digital,B07RZ75JW3,0.1
$30 roblox gift card not digital,B07RZ74VLR,0.1
$30 roblox gift card not digital,B07M9XQ9YB,0.0
$30 roblox gift card not digital,B078RJ1KZ6,0.0
$30 roblox gift card not digital,B01N6RK9UE,0.0
$30 roblox gift card not digital,B016Y2BVKA,1.0
$30 roblox gift card not digital,B00WEVLE30,0.0
$30 roblox gift card not digital,B00F4CEWOY,0.0
$30 roblox gift card not digital,B00F4CEHNK,0.1
$30 roblox gift card not digital,B004RMK4P8,0.0
$30 roblox gift card not digital,B07BC8ZH7K,0.0
(fiction without frontiers),B08C5KY8V8,0.0
(fiction without frontiers),B08NLC5VJC,0.1
(fiction without frontiers),B08NKCZM5Y,1.0
(fiction without frontiers),B08LDTWY9L,0.0
(fiction without frontiers),B08CVS88GV,0.1
(fiction without frontiers),B08C5N9F3G,1.0
(fiction without frontiers),B08C5MQFCY,1.0
(fiction without frontiers),B088JLGCWB,1.0
(fiction without frontiers),B086689HYL,1.0
(fiction without frontiers),B07SNF45NV,1.0
(fiction without frontiers),B07QJX9NCV,1.0
(fiction without frontiers),B07PGQF8K2,1.0
(fiction without frontiers),B07PDMZWY7,1.0
(fiction without frontiers),B07L9JSMT8,1.0
(fiction without frontiers),B07J2MQ5N8,1.0
(fiction without frontiers),B07GJVWWWR,1.0
100,B07PF1MNXR,1.0
100,B0897SR3DT,1.0
100,B085Z5Q1B5,1.0
100,B07Z1N3RL9,1.0
100,B07TKY68KW,1.0
100,B07RC2BTRF,1.0
100,B07QNX2GHL,1.0
100,B07C3771GC,1.0
100,B0731PJLL5,1.0
100,B0728JM76R,1.0
100,B01MXXNETB,1.0
100,B01AX93N24,1.0
100,B00QGKWI08,0.0
100,B00J4FTVAM,1.0
100,B00HNY6OWO,1.0
100,B078WFK3J1,0.0
10x10x6 cake box without window,B091YWNMG7,0.0
10x10x6 cake box without window,B091F2L8VN,1.0
10x10x6 cake box without window,B08MXWVYL7,0.1
10x10x6 cake box without window,B08G8XXYWB,0.0
10x10x6 cake box without window,B08G8XV4NH,0.0
10x10x6 cake box without window,B08CKP3HC9,0.1
10x10x6 cake box without window,B089NZBP8H,0.1
10x10x6 cake box without window,B0894LYFXL,0.0
10x10x6 cake box without window,B0874QC7SX,0.0
10x10x6 cake box without window,B0874MYG66,0.0
10x10x6 cake box without window,B07L435Q8Y,0.1
10x10x6 cake box without window,B07F94RSCM,0.0
10x10x6 cake box without window,B07F1G63FL,0.0
10x10x6 cake box without window,B07DQYNYZG,0.0
10x10x6 cake box without window,B01I192JMS,0.0
10x10x6 cake box without window,B004NG9A5I,0.1
15 inch light weight laptop that has lots of memory storage and RAM.  It should include a HDMI port as well as a USB drive.  ,B08KGYDR16,1.0
15 inch light weight laptop that has lots of memory storage and RAM.  It should include a HDMI port as well as a USB drive.  ,B08Z7DDWH6,0.1
15 inch light weight laptop that has lots of memory storage and RAM.  It should include a HDMI port as well as a USB drive.  ,B08NXSJVCR,1.0
15 inch light weight laptop that has lots of memory storage and RAM.  It should include a HDMI port as well as a USB drive.  ,B099M1K7H7,0.1
15 inch light weight laptop that has lots of memory storage and RAM.  It should include a HDMI port as well as a USB drive.  ,B08NWMXN7X,1.0
15 inch light weight laptop that has lots of memory storage and RAM.  It should include a HDMI port as well as a USB drive.  ,B08KGZ79N6,1.0
15 inch light weight laptop that has lots of memory storage and RAM.  It should include a HDMI port as well as a USB drive.  ,B08BMLZKL2,0.1
15 inch light weight laptop that has lots of memory storage and RAM.  It should include a HDMI port as well as a USB drive.  ,B07GM2J11Q,0.1
15 inch light weight laptop that has lots of memory storage and RAM.  It should include a HDMI port as well as a USB drive.  ,B0869L1326,1.0
15 inch light weight laptop that has lots of memory storage and RAM.  It should include a HDMI port as well as a USB drive.  ,B07D5N1PFY,0.1
15 inch light weight laptop that has lots of memory storage and RAM.  It should include a HDMI port as well as a USB drive.  ,B07DQVLVVS,0.1
15 inch light weight laptop that has lots of memory storage and RAM.  It should include a HDMI port as well as a USB drive.  ,B087WSHNF9,0.1
15 inch light weight laptop that has lots of memory storage and RAM.  It should include a HDMI port as well as a USB drive.  ,B07RF1XD36,1.0
15 inch light weight laptop that has lots of memory storage and RAM.  It should include a HDMI port as well as a USB drive.  ,B086226DDB,0.1
15 inch light weight laptop that has lots of memory storage and RAM.  It should include a HDMI port as well as a USB drive.  ,B07QH8HYL1,0.01
15 microsoft card,B07K81Z6DF,0.0
15 microsoft card,B09F8SFBJ1,1.0
15 microsoft card,B086QR6Q2S,0.0
15 microsoft card,B07ZMFW3JD,0.0
15 microsoft card,B07Y414QXJ,0.0
15 microsoft card,B07TMNGSN4,0.0
15 microsoft card,B0798MPVT2,1.0
15 microsoft card,B07KXQX3S3,0.0
15 microsoft card,B00F4CFHFC,0.0
15 microsoft card,B00F4CF39C,1.0
15 microsoft card,B00F4CEWOY,1.0
15 microsoft card,B00F4CEOS8,1.0
15 microsoft card,B00F4CEHNK,0.0
15 microsoft card,B00CYX26BC,0.0
15 microsoft card,B01FIS7AU6,0.0
40 amp 240 volt timer,B07WSVDPQK,1.0
40 amp 240 volt timer,B07WC2BT85,1.0
40 amp 240 volt timer,B07PP2KNNH,1.0
40 amp 240 volt timer,B075JKKX9R,1.0
40 amp 240 volt timer,B00ZETW82A,1.0
40 amp 240 volt timer,B008YXZ74E,1.0
40 amp 240 volt timer,B0057XZDIY,1.0
40 amp 240 volt timer,B00CYVBWYG,1.0
40 amp 240 volt timer,B002TC4A08,0.1
40 amp 240 volt timer,B000KKNENU,0.1
40 amp 240 volt timer,B000KKHQGQ,1.0
40 amp 240 volt timer,B000KKHQFW,1.0
40 amp 240 volt timer,B000BQOX88,1.0
40 amp 240 volt timer,B00099EGNE,1.0
40 amp 240 volt timer,B003A5CQ22,0.1
40 amp 240 volt timer,B0076CQY3M,1.0
45 women birthday party supplies,B07SQPCLBB,1.0
45 women birthday party supplies,B07Z7N2DVP,1.0
45 women birthday party supplies,B07YBKWKC1,0.0
45 women birthday party supplies,B07WF6RRWC,1.0
45 women birthday party supplies,B07T8671CM,0.0
45 women birthday party supplies,B07SKTSJ6M,0.0
45 women birthday party supplies,B07XQJ4HSY,0.0
45 women birthday party supplies,B07PF7QQ4V,0.0
45 women birthday party supplies,B06WD93JSQ,0.0
45 women birthday party supplies,B01JMNX8PY,0.0
45 women birthday party supplies,B01GVFM6UE,0.0
45 women birthday party supplies,B000GAYQKY,0.0
45 women birthday party supplies,B07R2RKB8C,0.0
4khdip168nv-1,B08HQ4CWRB,0.0
4khdip168nv-1,B08HRML25F,0.1
4khdip168nv-1,B08ZJTZCP9,0.1
4khdip168nv-1,B08P2RPHP2,0.1
4khdip168nv-1,B085RV64ZV,0.1
4khdip168nv-1,B08JS8ZT4H,1.0
4khdip168nv-1,B07W4WBKKJ,1.0
4khdip168nv-1,B07X6C9RMF,0.1
4khdip168nv-1,B07RHQGS8V,0.1
4khdip168nv-1,B01C6KUKMY,0.1
4khdip168nv-1,B07MZPV6BW,0.1
4khdip168nv-1,B07LB8W16F,1.0
4khdip168nv-1,B07L459DX2,0.1
4khdip168nv-1,B07GCKZKX8,0.1
4khdip168nv-1,B07FQXL5L3,0.1
4khdip168nv-1,B07VWSH3MK,0.1
7 days without a pun makes one weak,B084T37MVZ,1.0
7 days without a pun makes one weak,B098DQCZRN,1.0
7 days without a pun makes one weak,B087619SZW,0.0
7 days without a pun makes one weak,B086JPN89N,1.0
7 days without a pun makes one weak,B0858VS8YG,1.0
7 days without a pun makes one weak,B0858VRWY5,1.0
7 days without a pun makes one weak,B084QLM9FZ,1.0
7 days without a pun makes one weak,B084QLD38Q,1.0
7 days without a pun makes one weak,B084Q9WMQK,1.0
7 days without a pun makes one weak,B083Z9M4TR,1.0
7 days without a pun makes one weak,B07SQQX2MM,1.0
7 days without a pun makes one weak,B07RHGP8T8,1.0
7 days without a pun makes one weak,B07PGBYSYD,1.0
7 days without a pun makes one weak,B07PCLLG2H,1.0
7 days without a pun makes one weak,B07BGXLBVF,1.0
7 days without a pun makes one weak,1687430438,1.0
a deed without a name,B0047DVZK0,0.0
a deed without a name,B00B0YC5DK,1.0
a deed without a name,B00LZSSV3E,1.0
a deed without a name,B083ZP3PKF,0.0
a deed without a name,B07FBVCFT1,0.1
a deed without a name,1899000127,1.0
a deed without a name,B07FBN7TMX,1.0
a deed without a name,1859730485,1.0
a deed without a name,0915230828,1.0
a deed without a name,1789040140,0.1
a deed without a name,1780995490,1.0
a deed without a name,1683582403,0.0
a deed without a name,1411696794,1.0
a deed without a name,0978834682,0.0
a deed without a name,0469968923,1.0
a deed without a name,1790994209,0.1
adaptador control xbox 360 a pc,B094QKYXZS,0.0
adaptador control xbox 360 a pc,B093CYW12Z,1.0
adaptador control xbox 360 a pc,B092QS6HMF,0.0
adaptador control xbox 360 a pc,B08YR4XVT3,0.01
adaptador control xbox 360 a pc,B08L7LMBSL,0.0
adaptador control xbox 360 a pc,B08CY14VGD,0.1
adaptador control xbox 360 a pc,B07RJRQ1YD,1.0
adaptador control xbox 360 a pc,B07R7L8KJP,1.0
adaptador control xbox 360 a pc,B07QR4HCWQ,1.0
adaptador control xbox 360 a pc,B07Q5RHDRF,0.01
adaptador control xbox 360 a pc,B07PZXYXKM,0.0
adaptador control xbox 360 a pc,B07HFNQRWT,1.0
adaptador control xbox 360 a pc,B079KSTD3K,1.0
adaptador control xbox 360 a pc,B0785RHK5Q,1.0
adaptador control xbox 360 a pc,B01HPZ3LC6,1.0
adaptador control xbox 360 a pc,B00ZB7W4QU,1.0
adidas soccer cleats,B07TQSBJD6,1.0
adidas soccer cleats,B07SXD7PWS,1.0
adidas soccer cleats,B07S93HQR7,1.0
adidas soccer cleats,B07S81PFRG,1.0
adidas soccer cleats,B07S814P4B,1.0
adidas soccer cleats,B07S334TW3,1.0
adidas soccer cleats,B07PWFRKT2,1.0
adidas soccer cleats,B07KXDMRYK,1.0
adidas soccer cleats,B07KXBPDR6,1.0
adidas soccer cleats,B07KXBBZ9B,1.0
adidas soccer cleats,B07KX99WSS,1.0
adidas soccer cleats,B07KX99WH8,1.0
adidas soccer cleats,B07KXBB5TC,1.0
adidas soccer cleats,B07KX8H1LQ,1.0
adidas soccer cleats,B000O3QK48,1.0
adidas soccer cleats,B000OWL7C4,1.0
adidas soccer cleats,B07KX955LY,1.0
adidas soccer cleats,B077XDCT1Y,1.0
adidas soccer cleats,B077XJ67PL,1.0
adidas soccer cleats,B071Z6YRTK,1.0
adidas soccer cleats,B07BHM1T7S,1.0
adidas soccer cleats,B07D9FRKQ9,1.0
adidas soccer cleats,B07KN94CQ3,1.0
adidas soccer cleats,B07KN959KL,1.0
adidas soccer cleats,B0794BTL8D,1.0
alexa leak detector,B086WVMKNJ,0.1
alexa leak detector,B07JPZXW51,1.0
alexa leak detector,B084WYB8PM,1.0
alexa leak detector,B081J4BMDY,1.0
alexa leak detector,B07Z7QWJBP,1.0
alexa leak detector,B07VHP3M9L,0.1
alexa leak detector,B07V246GCX,1.0
alexa leak detector,B07NXW4FLM,0.1
alexa leak detector,B07GPXKN8Z,1.0
alexa leak detector,B07F951JDP,1.0
alexa leak detector,B07BS9Z255,0.1
alexa leak detector,B077Y6CL7M,1.0
alexa leak detector,B0748RK2XQ,0.1
alexa leak detector,B071RGVBCS,1.0
alexa leak detector,B00C03D01Q,1.0
alexa leak detector,B07F956F3B,1.0
alphabet stickers,B07S8L3D23,1.0
alphabet stickers,B07QGGMVPK,1.0
alphabet stickers,B07PQRNY86,1.0
alphabet stickers,B07P2P76SP,1.0
alphabet stickers,B07JJT2NP3,1.0
alphabet stickers,B07DXNNMB6,1.0
alphabet stickers,B07DPMM4HV,1.0
alphabet stickers,B07H99M3V6,1.0
alphabet stickers,B076CYQ9F3,1.0
alphabet stickers,B01ELCZGMY,1.0
alphabet stickers,B01BUL8ZC2,1.0
alphabet stickers,B00VIV98RG,1.0
alphabet stickers,B00OY1FE3E,1.0
alphabet stickers,B000MARL0K,1.0
alphabet stickers,1604189797,1.0
alphabet stickers,B07DK11FGD,1.0
american flag 5x8 outdoor made in usa,B07567DB95,1.0
american flag 5x8 outdoor made in usa,B084LYTQ1T,1.0
american flag 5x8 outdoor made in usa,B07YS12TX1,1.0
american flag 5x8 outdoor made in usa,B07WRN2B8W,1.0
american flag 5x8 outdoor made in usa,B07V2C7YHM,1.0
american flag 5x8 outdoor made in usa,B07Q7PGF81,1.0
american flag 5x8 outdoor made in usa,B078TBFL8C,1.0
american flag 5x8 outdoor made in usa,B072PYPHTB,1.0
american flag 5x8 outdoor made in usa,B01NBEI44H,1.0
american flag 5x8 outdoor made in usa,B01EPMV4Q2,1.0
american flag 5x8 outdoor made in usa,B011TP3GCI,1.0
american flag 5x8 outdoor made in usa,B00XH6DS30,1.0
american flag 5x8 outdoor made in usa,B00O8AHWEK,1.0
american flag 5x8 outdoor made in usa,B00MAAOOO6,1.0
american flag 5x8 outdoor made in usa,B001J34TZ4,1.0
american flag 5x8 outdoor made in usa,B000HMCDD8,1.0
andis t edger,B01499YQP2,1.0
andis t edger,B0815TQ5RG,1.0
andis t edger,B07XTZS3N6,1.0
andis t edger,B07JZ8B8YY,0.01
andis t edger,B07BF2PVDM,1.0
andis t edger,B0722JSJLT,1.0
andis t edger,B013QMZZ94,1.0
andis t edger,B00B9LGCGU,0.01
andis t edger,B00A0RH0YC,1.0
andis t edger,B002I9LGWW,1.0
andis t edger,B000RFS118,1.0
andis t edger,B000EVIVFQ,1.0
andis t edger,B000BBF4KO,1.0
andis t edger,B0009XH6NW,1.0
andis t edger,B0006ZTEQK,0.01
back to december taylor swift,B072MRVLSH,1.0
back to december taylor swift,B07WBWD7TF,0.1
back to december taylor swift,B072MRYSY7,1.0
back to december taylor swift,B00UPEN4CM,0.1
back to december taylor swift,B07L5YZ5P8,1.0
back to december taylor swift,B07PDJWV4J,0.1
back to december taylor swift,B07K5H3BNT,1.0
back to december taylor swift,B00AFDD6K8,0.1
back to december taylor swift,B006WWU8IO,0.1
back to december taylor swift,B006WWU9Y2,0.1
back to december taylor swift,B006WWU924,0.1
back to december taylor swift,B006BBBG46,0.1
back to december taylor swift,B0048IRSLE,1.0
back to december taylor swift,B0048IMZMG,0.1
back to december taylor swift,B0048IL7LG,0.1
back to december taylor swift,B006WWUGKE,0.1
backpacks lunchbox combo,B07T13QF77,0.1
backpacks lunchbox combo,B07PLMNX5L,0.1
backpacks lunchbox combo,B07PC2FNHJ,0.1
backpacks lunchbox combo,B07P9BBGJ8,0.1
backpacks lunchbox combo,B07LDV1ZFJ,0.1
backpacks lunchbox combo,B07FTQD6FL,0.1
backpacks lunchbox combo,B07F32N417,0.1
backpacks lunchbox combo,B07TVWQCM8,0.1
backpacks lunchbox combo,B07CSGB4XG,1.0
backpacks lunchbox combo,B07BRYY1RR,0.1
backpacks lunchbox combo,B079YWMM23,0.1
backpacks lunchbox combo,B0792HCXL5,0.1
backpacks lunchbox combo,B074V7XQPJ,0.1
backpacks lunchbox combo,B073458DX7,0.1
backpacks lunchbox combo,B01JIOVQ4W,0.1
backpacks lunchbox combo,B07DPV86W6,0.1
bambu utensil set,B088N7HC7N,1.0
bambu utensil set,B08CSSYR5M,1.0
bambu utensil set,B08H4RP7Z2,1.0
bambu utensil set,B08HCLDF5W,1.0
bambu utensil set,B08HDKKX8P,1.0
bambu utensil set,B08JG62XL8,0.1
bambu utensil set,B08NYJLZV1,1.0
bambu utensil set,B08PCMHRQZ,1.0
bambu utensil set,B08TQPGJKJ,1.0
bambu utensil set,B08RCDH111,1.0
bambu utensil set,B08T97RFQH,1.0
bambu utensil set,B08XXDLMXF,0.1
bambu utensil set,B09245MC3R,1.0
bambu utensil set,B092R5RG4G,1.0
bambu utensil set,B09C887TZ2,1.0
bambu utensil set,B09D5TKY6W,1.0
bambu utensil set,B082GWY1Y6,0.1
bambu utensil set,B08R6C23GB,1.0
bambu utensil set,B0823FQKH6,1.0
bambu utensil set,B08VS2LCQY,1.0
bambu utensil set,B07YC9VH1D,0.1
bambu utensil set,B009BLGMLA,1.0
bambu utensil set,B016ASSTGW,1.0
bambu utensil set,B01G4AO19K,1.0
