query,document,judgment
00g 目立たない,B08TTRRTKY,0.1
00g 目立たない,B08THGRFN5,0.1
00g 目立たない,B08HGRMFF3,0.1
00g 目立たない,B07XG2BK5P,1.0
00g 目立たない,B08F6ZJQBV,0.1
00g 目立たない,B08X6M1XDH,0.1
00g 目立たない,B07RXZ7MND,1.0
00g 目立たない,B08HD6H9QZ,1.0
00g 目立たない,B0928VX2MR,0.1
00g 目立たない,B09B6YWQLL,1.0
00g 目立たない,B099Z7YDMY,0.1
00g 目立たない,B09B6LHGCJ,0.0
00g 目立たない,B09B71HYSM,0.1
00g 目立たない,B09D7ZYQ39,0.1
00g 目立たない,B09D92DPLM,0.1
00g 目立たない,B09D8YYLJV,1.0
00g 目立たない,B09D918YCR,0.1
00g 目立たない,B07JN5FJCG,0.1
00g 目立たない,B095SVMK8W,0.1
00g 目立たない,B07FCB1D33,1.0
00g 目立たない,B00LS9BYD4,1.0
00g 目立たない,B071VSMD6C,0.1
00g 目立たない,B079BJDLNH,1.0
00g 目立たない,B00FQD0P10,1.0
00g 目立たない,B00G0K0EVE,1.0
00g 目立たない,B00LS9HJSS,1.0
00g 目立たない,B00OC3R25M,1.0
00g 目立たない,B00OC3S3IC,1.0
00g 目立たない,B00OC3SIRI,0.0
00g 目立たない,B00OC3TUNY,1.0
00g 目立たない,B00OC3S9YA,1.0
00g 目立たない,B017U94478,0.1
00g 目立たない,B017U9537I,0.1
00g 目立たない,B017U957F6,0.1
00g 目立たない,B018LHR37G,0.1
00g 目立たない,B01J4VN3VS,1.0
00g 目立たない,B01MXYH845,0.1
00g 目立たない,B06XRNSD4F,1.0
00g 目立たない,B071S78G4P,0.1
00g 目立たない,B00XDUS4OS,1.0
1 & 1/4 pvp water suction hose without couplings 100 ft,B08XWJYHXF,0.1
1 & 1/4 pvp water suction hose without couplings 100 ft,B08XLQXR5H,0.1
1 & 1/4 pvp water suction hose without couplings 100 ft,B08TVH89ZB,0.1
1 & 1/4 pvp water suction hose without couplings 100 ft,B08JX5STJ6,0.0
1 & 1/4 pvp water suction hose without couplings 100 ft,B088FRL3SK,0.0
1 & 1/4 pvp water suction hose without couplings 100 ft,B087JJMSBV,0.0
1 & 1/4 pvp water suction hose without couplings 100 ft,B082TYF8RJ,1.0
1 & 1/4 pvp water suction hose without couplings 100 ft,B07PMQ4BZV,0.0
1 & 1/4 pvp water suction hose without couplings 100 ft,B079GSWTTL,0.0
1 & 1/4 pvp water suction hose without couplings 100 ft,B071DXGGP4,0.0
1 & 1/4 pvp water suction hose without couplings 100 ft,B01N9TGY68,0.0
1 & 1/4 pvp water suction hose without couplings 100 ft,B01D51VBFS,1.0
1 & 1/4 pvp water suction hose without couplings 100 ft,B0181EDCZ6,0.1
1 & 1/4 pvp water suction hose without couplings 100 ft,B00E6A1EVO,0.0
1 & 1/4 pvp water suction hose without couplings 100 ft,B00835NAOM,0.01
1 & 1/4 pvp water suction hose without couplings 100 ft,B0002YQUBM,0.0
10 and 8 yr old. make up without the nieal plush,B092VZRPVW,0.1
10 and 8 yr old. make up without the nieal plush,B07XYMR6CM,0.0
10 and 8 yr old. make up without the nieal plush,B07SRF11NZ,0.0
10 and 8 yr old. make up without the nieal plush,B07T91Q7XW,0.1
10 and 8 yr old. make up without the nieal plush,B07STZDZNT,1.0
10 and 8 yr old. make up without the nieal plush,B08DFY5RTB,1.0
10 and 8 yr old. make up without the nieal plush,B07T9JV956,0.0
10 and 8 yr old. make up without the nieal plush,B08KPY9822,1.0
10 and 8 yr old. make up without the nieal plush,B08R5T3WY7,1.0
10 and 8 yr old. make up without the nieal plush,B08PCK9MP6,1.0
10 and 8 yr old. make up without the nieal plush,B08QF6GC3C,1.0
10 and 8 yr old. make up without the nieal plush,B08QR9P33R,0.0
10 and 8 yr old. make up without the nieal plush,B08R86GWTR,1.0
10 and 8 yr old. make up without the nieal plush,B08XVTXLG8,0.0
10 and 8 yr old. make up without the nieal plush,B091TFHKHT,0.0
10 and 8 yr old. make up without the nieal plush,B0922VKFFD,0.0
10 and 8 yr old. make up without the nieal plush,B07SG779SB,0.0
10 and 8 yr old. make up without the nieal plush,B08LH66HZL,0.1
10 and 8 yr old. make up without the nieal plush,B07RMDV9LM,1.0
10 and 8 yr old. make up without the nieal plush,B082PGFK7Y,1.0
10 and 8 yr old. make up without the nieal plush,B07F719PHQ,0.0
10 and 8 yr old. make up without the nieal plush,B000NWAOHE,0.0
10 and 8 yr old. make up without the nieal plush,B002CSQDZY,0.0
10 and 8 yr old. make up without the nieal plush,B005G9E9AW,1.0
10 and 8 yr old. make up without the nieal plush,B00E24BM2U,1.0
10 and 8 yr old. make up without the nieal plush,B00HZ9LB0M,0.1
10 and 8 yr old. make up without the nieal plush,B00W8LBTMC,0.0
10 and 8 yr old. make up without the nieal plush,B015CIV4OA,1.0
10 and 8 yr old. make up without the nieal plush,B01LZH9VQU,0.0
10 and 8 yr old. make up without the nieal plush,B00T0C9XRK,0.0
10 and 8 yr old. make up without the nieal plush,B01N2T7W6T,1.0
10 and 8 yr old. make up without the nieal plush,B01MQJO2CT,1.0
10 and 8 yr old. make up without the nieal plush,B079KJLDF2,0.0
10 and 8 yr old. make up without the nieal plush,B0788T8LS1,1.0
10 and 8 yr old. make up without the nieal plush,B077BJC36S,0.0
10 and 8 yr old. make up without the nieal plush,B07CJZLFQL,0.0
10 and 8 yr old. make up without the nieal plush,B075F3V5JY,0.0
10 and 8 yr old. make up without the nieal plush,B074RCV4HQ,0.0
10 and 8 yr old. make up without the nieal plush,B0778L2DBP,0.0
10 and 8 yr old. make up without the nieal plush,B07NRT2CYF,1.0
11' x 11' patio umbrella square without led lighys,B0814JPLWB,0.1
11' x 11' patio umbrella square without led lighys,B07QN4SQJ7,0.0
11' x 11' patio umbrella square without led lighys,B07RWGYPNK,0.1
11' x 11' patio umbrella square without led lighys,B07SG2M5T6,0.1
11' x 11' patio umbrella square without led lighys,B07SH53PDM,1.0
11' x 11' patio umbrella square without led lighys,B07SZ841RV,0.1
11' x 11' patio umbrella square without led lighys,B07ZHGYKCR,0.1
11' x 11' patio umbrella square without led lighys,B0824GK65C,0.1
11' x 11' patio umbrella square without led lighys,B08CVTKRRR,0.1
11' x 11' patio umbrella square without led lighys,B083FNBW6D,0.1
11' x 11' patio umbrella square without led lighys,B0854574VC,0.1
11' x 11' patio umbrella square without led lighys,B08572SHBS,0.1
11' x 11' patio umbrella square without led lighys,B08CK8S922,0.0
11' x 11' patio umbrella square without led lighys,B07N1MPK4B,0.1
11' x 11' patio umbrella square without led lighys,B08GFSL1MQ,0.1
11' x 11' patio umbrella square without led lighys,B08QRKL71Y,0.1
11' x 11' patio umbrella square without led lighys,B08R9FD5JK,1.0
11' x 11' patio umbrella square without led lighys,B0839392PS,0.1
11' x 11' patio umbrella square without led lighys,B07N19PQM2,0.0
11' x 11' patio umbrella square without led lighys,B07QT7Y5XB,0.1
11' x 11' patio umbrella square without led lighys,B07FTY5F21,1.0
11' x 11' patio umbrella square without led lighys,B07K38Q9HF,1.0
11' x 11' patio umbrella square without led lighys,B003IR1TKM,0.1
11' x 11' patio umbrella square without led lighys,B009HI1D0C,0.1
11' x 11' patio umbrella square without led lighys,B00Y7TZQUY,0.0
11' x 11' patio umbrella square without led lighys,B014890KW6,0.0
11' x 11' patio umbrella square without led lighys,B01BBU5A7U,0.1
11' x 11' patio umbrella square without led lighys,B01CJGKFLQ,0.1
11' x 11' patio umbrella square without led lighys,B01CS1I7JY,0.1
